maxDepth,th,eta,nRounds,accuracy,logloss
1,0.5,0.1,1,0.74468085106383,0.660541660027519
1,0.5,0.1,2,0.74468085106383,0.633682099313742
1,0.5,0.1,3,0.74468085106383,0.610795113598863
1,0.5,0.1,4,0.74468085106383,0.591374201694073
1,0.5,0.1,5,0.74468085106383,0.574950620748568
1,0.5,0.1,6,0.74468085106383,0.560662938410634
1,0.5,0.1,7,0.74468085106383,0.548326830502297
1,0.5,0.1,8,0.74468085106383,0.540174451532542
1,0.5,0.1,9,0.74468085106383,0.535754718436467
1,0.5,0.1,10,0.74468085106383,0.529502972295971
1,0.5,0.1,11,0.74468085106383,0.521507998192551
1,0.5,0.1,12,0.74468085106383,0.519299859782344
1,0.5,0.1,13,0.74468085106383,0.514907061141504
1,0.5,0.1,14,0.74468085106383,0.511048589392425
1,0.5,0.1,15,0.74468085106383,0.510169862798944
1,0.5,0.1,16,0.74468085106383,0.507384212396741
1,0.5,0.1,17,0.74468085106383,0.502289277589242
1,0.5,0.1,18,0.74468085106383,0.500633891744343
1,0.5,0.1,19,0.74468085106383,0.498567285980411
1,0.5,0.1,20,0.74468085106383,0.496128464052812
1,0.5,0.1,21,0.74468085106383,0.49441662628929
1,0.5,0.1,22,0.74468085106383,0.494931167379866
1,0.5,0.1,23,0.74468085106383,0.493507283748872
1,0.5,0.1,24,0.74468085106383,0.492557866821906
1,0.5,0.1,25,0.74468085106383,0.492850318832551
1,0.5,0.1,26,0.74468085106383,0.492350237393375
1,0.5,0.1,27,0.74468085106383,0.490560070314642
1,0.5,0.1,28,0.74468085106383,0.489508576299625
1,0.5,0.1,29,0.74468085106383,0.489996903933653
1,0.5,0.1,30,0.74468085106383,0.489390579879282
1,0.5,0.1,31,0.74468085106383,0.489118417605463
1,0.5,0.1,32,0.74468085106383,0.488273458585736
1,0.5,0.1,33,0.74468085106383,0.486893617180224
1,0.5,0.1,34,0.74468085106383,0.4879426249682
1,0.5,0.1,35,0.74468085106383,0.487235575460859
1,0.5,0.1,36,0.74468085106383,0.487707465562469
1,0.5,0.1,37,0.74468085106383,0.486433217758182
1,0.5,0.1,38,0.74468085106383,0.487117010827794
1,0.5,0.1,39,0.74468085106383,0.486112495440573
1,0.5,0.1,40,0.74468085106383,0.485780141582277
1,0.5,0.1,41,0.74468085106383,0.485798966857582
1,0.5,0.1,42,0.74468085106383,0.485288435866158
1,0.5,0.1,43,0.74468085106383,0.485904482265349
1,0.5,0.1,44,0.74468085106383,0.484878761902638
1,0.5,0.1,45,0.74468085106383,0.485451103397658
1,0.5,0.1,46,0.74468085106383,0.482968169526477
1,0.5,0.1,47,0.74468085106383,0.482739890112512
1,0.5,0.1,48,0.74468085106383,0.48347822366821
1,0.5,0.1,49,0.74468085106383,0.482094189055819
1,0.5,0.1,50,0.74468085106383,0.481710339481442
1,0.5,0.1,51,0.74468085106383,0.482782888357927
1,0.5,0.1,52,0.765957446808511,0.481000592359987
1,0.5,0.1,53,0.765957446808511,0.481605977741313
1,0.5,0.1,54,0.765957446808511,0.480796587029112
1,0.5,0.1,55,0.765957446808511,0.481447500393261
1,0.5,0.1,56,0.765957446808511,0.480258325509112
1,0.5,0.1,57,0.765957446808511,0.479953341339557
1,0.5,0.1,58,0.765957446808511,0.480152126468964
1,0.5,0.1,59,0.765957446808511,0.480024378996931
1,0.5,0.1,60,0.765957446808511,0.480795409571263
1,0.5,0.1,61,0.787234042553192,0.479732525265244
1,0.5,0.1,62,0.787234042553192,0.479479871958117
1,0.5,0.1,63,0.787234042553192,0.477994519946189
1,0.5,0.1,64,0.787234042553192,0.479054461624607
1,0.5,0.1,65,0.787234042553192,0.478834689366768
1,0.5,0.1,66,0.787234042553192,0.479484844958986
1,0.5,0.1,67,0.787234042553192,0.478549284219217
1,0.5,0.1,68,0.787234042553192,0.478775918991486
1,0.5,0.1,69,0.787234042553192,0.478139217036153
1,0.5,0.1,70,0.787234042553192,0.477823913725841
1,0.5,0.1,71,0.787234042553192,0.476472015596302
1,0.5,0.1,72,0.787234042553192,0.477098726636582
1,0.5,0.1,73,0.787234042553192,0.476925045568853
1,0.5,0.1,74,0.787234042553192,0.476879548270435
1,0.5,0.1,75,0.765957446808511,0.477491205764699
1,0.5,0.1,76,0.765957446808511,0.476678422095424
1,0.5,0.1,77,0.765957446808511,0.477453897412529
1,0.5,0.1,78,0.765957446808511,0.476209372395728
1,0.5,0.1,79,0.765957446808511,0.475939319698865
1,0.5,0.1,80,0.765957446808511,0.475798735001959
1,0.5,0.1,81,0.765957446808511,0.474145622573806
1,0.5,0.1,82,0.765957446808511,0.473424047729516
1,0.5,0.1,83,0.765957446808511,0.474396701038649
1,0.5,0.1,84,0.765957446808511,0.47438100234492
1,0.5,0.1,85,0.765957446808511,0.474641225738549
1,0.5,0.1,86,0.765957446808511,0.473520444604169
1,0.5,0.1,87,0.765957446808511,0.473282556223776
1,0.5,0.1,88,0.765957446808511,0.473915349866877
1,0.5,0.1,89,0.765957446808511,0.473802110856879
1,0.5,0.1,90,0.765957446808511,0.471835124256108
1,0.5,0.1,91,0.765957446808511,0.472418911598866
1,0.5,0.1,92,0.765957446808511,0.471996625317179
1,0.5,0.1,93,0.765957446808511,0.472723043355026
1,0.5,0.1,94,0.765957446808511,0.473328995073425
1,0.5,0.1,95,0.765957446808511,0.47232154118316
1,0.5,0.1,96,0.765957446808511,0.472589548712396
1,0.5,0.1,97,0.765957446808511,0.4723839953707
1,0.5,0.1,98,0.765957446808511,0.472294127607058
1,0.5,0.1,99,0.765957446808511,0.4704558022733
1,0.5,0.1,100,0.765957446808511,0.471039978993314
1,0.5,0.2,1,0.74468085106383,0.630726571551007
1,0.5,0.2,2,0.74468085106383,0.588068194842718
1,0.5,0.2,3,0.74468085106383,0.557047600976096
1,0.5,0.2,4,0.74468085106383,0.53980768404677
1,0.5,0.2,5,0.74468085106383,0.532307436695384
1,0.5,0.2,6,0.74468085106383,0.516518107884026
1,0.5,0.2,7,0.74468085106383,0.508494409080017
1,0.5,0.2,8,0.74468085106383,0.507413570412544
1,0.5,0.2,9,0.74468085106383,0.502828145588104
1,0.5,0.2,10,0.74468085106383,0.497963379810258
1,0.5,0.2,11,0.74468085106383,0.498110669675726
1,0.5,0.2,12,0.74468085106383,0.495342254075877
1,0.5,0.2,13,0.74468085106383,0.487842101123026
1,0.5,0.2,14,0.74468085106383,0.487190257921484
1,0.5,0.2,15,0.74468085106383,0.485799939373849
1,0.5,0.2,16,0.74468085106383,0.484115325176816
1,0.5,0.2,17,0.74468085106383,0.485407337795668
1,0.5,0.2,18,0.74468085106383,0.482831539044911
1,0.5,0.2,19,0.74468085106383,0.483906880730093
1,0.5,0.2,20,0.74468085106383,0.482793348651635
1,0.5,0.2,21,0.74468085106383,0.482242237576958
1,0.5,0.2,22,0.74468085106383,0.484520004636075
1,0.5,0.2,23,0.74468085106383,0.485797701298231
1,0.5,0.2,24,0.74468085106383,0.483044340247371
1,0.5,0.2,25,0.74468085106383,0.482293203143342
1,0.5,0.2,26,0.74468085106383,0.480588500549635
1,0.5,0.2,27,0.765957446808511,0.480913723473577
1,0.5,0.2,28,0.765957446808511,0.477615690957746
1,0.5,0.2,29,0.787234042553192,0.479266109737474
1,0.5,0.2,30,0.787234042553192,0.478768553008662
1,0.5,0.2,31,0.787234042553192,0.476744629705861
1,0.5,0.2,32,0.787234042553192,0.478052026704727
1,0.5,0.2,33,0.787234042553192,0.47788895414092
1,0.5,0.2,34,0.787234042553192,0.479249659179284
1,0.5,0.2,35,0.765957446808511,0.476614365105016
1,0.5,0.2,36,0.787234042553192,0.477109530729121
1,0.5,0.2,37,0.765957446808511,0.479168392657153
1,0.5,0.2,38,0.765957446808511,0.478089185485407
1,0.5,0.2,39,0.765957446808511,0.4777985433511
1,0.5,0.2,40,0.765957446808511,0.477254913691814
1,0.5,0.2,41,0.765957446808511,0.475686331186216
1,0.5,0.2,42,0.765957446808511,0.476925177962272
1,0.5,0.2,43,0.765957446808511,0.474633806659417
1,0.5,0.2,44,0.765957446808511,0.475926521363613
1,0.5,0.2,45,0.765957446808511,0.475715402086358
1,0.5,0.2,46,0.765957446808511,0.475272514290251
1,0.5,0.2,47,0.765957446808511,0.471345456879847
1,0.5,0.2,48,0.765957446808511,0.473206305083864
1,0.5,0.2,49,0.765957446808511,0.47321913038747
1,0.5,0.2,50,0.765957446808511,0.472714388685351
1,0.5,0.2,51,0.765957446808511,0.473888641184585
1,0.5,0.2,52,0.765957446808511,0.473743632964257
1,0.5,0.2,53,0.765957446808511,0.472965749372322
1,0.5,0.2,54,0.765957446808511,0.474163974865928
1,0.5,0.2,55,0.765957446808511,0.473836220915145
1,0.5,0.2,56,0.765957446808511,0.470389890542149
1,0.5,0.2,57,0.765957446808511,0.471469860738328
1,0.5,0.2,58,0.765957446808511,0.46894466276705
1,0.5,0.2,59,0.765957446808511,0.467281954496521
1,0.5,0.2,60,0.765957446808511,0.468636117271294
1,0.5,0.2,61,0.765957446808511,0.468550728158154
1,0.5,0.2,62,0.765957446808511,0.467464807010647
1,0.5,0.2,63,0.765957446808511,0.468036201761681
1,0.5,0.2,64,0.765957446808511,0.46797034536485
1,0.5,0.2,65,0.765957446808511,0.467727348696379
1,0.5,0.2,66,0.765957446808511,0.468687577554122
1,0.5,0.2,67,0.765957446808511,0.467235891035619
1,0.5,0.2,68,0.765957446808511,0.466903312387689
1,0.5,0.2,69,0.765957446808511,0.468379797150048
1,0.5,0.2,70,0.765957446808511,0.468427487414067
1,0.5,0.2,71,0.765957446808511,0.468384834334187
1,0.5,0.2,72,0.765957446808511,0.465735131173934
1,0.5,0.2,73,0.765957446808511,0.466634153506202
1,0.5,0.2,74,0.765957446808511,0.467666099818124
1,0.5,0.2,75,0.765957446808511,0.467474401665977
1,0.5,0.2,76,0.765957446808511,0.467009771816456
1,0.5,0.2,77,0.765957446808511,0.468094839614639
1,0.5,0.2,78,0.765957446808511,0.467211969127465
1,0.5,0.2,79,0.765957446808511,0.467014034699984
1,0.5,0.2,80,0.765957446808511,0.466952627429619
1,0.5,0.2,81,0.765957446808511,0.46775607978537
1,0.5,0.2,82,0.765957446808511,0.466597690258465
1,0.5,0.2,83,0.765957446808511,0.467157462824148
1,0.5,0.2,84,0.765957446808511,0.46701847593878
1,0.5,0.2,85,0.765957446808511,0.466135408164846
1,0.5,0.2,86,0.765957446808511,0.46740908557625
1,0.5,0.2,87,0.765957446808511,0.467076713640107
1,0.5,0.2,88,0.765957446808511,0.464843368100361
1,0.5,0.2,89,0.765957446808511,0.465581160755283
1,0.5,0.2,90,0.765957446808511,0.466464394566727
1,0.5,0.2,91,0.765957446808511,0.465558057156841
1,0.5,0.2,92,0.765957446808511,0.465517000485926
1,0.5,0.2,93,0.765957446808511,0.465336724832983
1,0.5,0.2,94,0.765957446808511,0.466323774515278
1,0.5,0.2,95,0.765957446808511,0.465290413747965
1,0.5,0.2,96,0.765957446808511,0.466415953656133
1,0.5,0.2,97,0.765957446808511,0.465458525506382
1,0.5,0.2,98,0.765957446808511,0.46634358639869
1,0.5,0.2,99,0.765957446808511,0.465539157437412
1,0.5,0.2,100,0.765957446808511,0.466717747354738
1,0.5,0.3,1,0.74468085106383,0.603661953489181
1,0.5,0.3,2,0.74468085106383,0.553202821065428
1,0.5,0.3,3,0.74468085106383,0.529504900221714
1,0.5,0.3,4,0.74468085106383,0.522233009239745
1,0.5,0.3,5,0.74468085106383,0.502880887305607
1,0.5,0.3,6,0.74468085106383,0.496012961956564
1,0.5,0.3,7,0.74468085106383,0.492768203032254
1,0.5,0.3,8,0.74468085106383,0.486284436293538
1,0.5,0.3,9,0.74468085106383,0.485273279633137
1,0.5,0.3,10,0.74468085106383,0.482322024797282
1,0.5,0.3,11,0.74468085106383,0.480651966186844
1,0.5,0.3,12,0.74468085106383,0.484364835786624
1,0.5,0.3,13,0.74468085106383,0.48127034990548
1,0.5,0.3,14,0.74468085106383,0.478138512597187
1,0.5,0.3,15,0.765957446808511,0.480274366399441
1,0.5,0.3,16,0.765957446808511,0.482284123413091
1,0.5,0.3,17,0.765957446808511,0.481163549291996
1,0.5,0.3,18,0.787234042553192,0.477200426507748
1,0.5,0.3,19,0.787234042553192,0.476802437993417
1,0.5,0.3,20,0.787234042553192,0.479350807773194
1,0.5,0.3,21,0.787234042553192,0.474682200288908
1,0.5,0.3,22,0.787234042553192,0.475502791350495
1,0.5,0.3,23,0.787234042553192,0.474924182013602
1,0.5,0.3,24,0.787234042553192,0.472377521295289
1,0.5,0.3,25,0.787234042553192,0.474900576884056
1,0.5,0.3,26,0.765957446808511,0.471219080885958
1,0.5,0.3,27,0.765957446808511,0.470438316774984
1,0.5,0.3,28,0.765957446808511,0.470085849201995
1,0.5,0.3,29,0.765957446808511,0.471976091046684
1,0.5,0.3,30,0.765957446808511,0.473797398032874
1,0.5,0.3,31,0.765957446808511,0.47244261015333
1,0.5,0.3,32,0.765957446808511,0.466679836066223
1,0.5,0.3,33,0.765957446808511,0.469549079469943
1,0.5,0.3,34,0.765957446808511,0.4690514937487
1,0.5,0.3,35,0.765957446808511,0.466394529361496
1,0.5,0.3,36,0.765957446808511,0.465728968280849
1,0.5,0.3,37,0.765957446808511,0.467469622164342
1,0.5,0.3,38,0.765957446808511,0.467305106582091
1,0.5,0.3,39,0.765957446808511,0.467363166783556
1,0.5,0.3,40,0.765957446808511,0.46917509342939
1,0.5,0.3,41,0.765957446808511,0.467501766420685
1,0.5,0.3,42,0.765957446808511,0.463980045618886
1,0.5,0.3,43,0.765957446808511,0.465580003597332
1,0.5,0.3,44,0.765957446808511,0.465480369721233
1,0.5,0.3,45,0.765957446808511,0.466919038397049
1,0.5,0.3,46,0.765957446808511,0.466827682500395
1,0.5,0.3,47,0.765957446808511,0.462577862675213
1,0.5,0.3,48,0.765957446808511,0.462177029558696
1,0.5,0.3,49,0.765957446808511,0.461897286997693
1,0.5,0.3,50,0.765957446808511,0.461169471416712
1,0.5,0.3,51,0.765957446808511,0.463305080192984
1,0.5,0.3,52,0.765957446808511,0.464567903880642
1,0.5,0.3,53,0.765957446808511,0.462810317984447
1,0.5,0.3,54,0.765957446808511,0.46439981674197
1,0.5,0.3,55,0.765957446808511,0.462945700996728
1,0.5,0.3,56,0.765957446808511,0.464568646470774
1,0.5,0.3,57,0.765957446808511,0.464500014016265
1,0.5,0.3,58,0.765957446808511,0.465355095202393
1,0.5,0.3,59,0.765957446808511,0.461979425576247
1,0.5,0.3,60,0.765957446808511,0.463136172026578
1,0.5,0.3,61,0.765957446808511,0.462949365981205
1,0.5,0.3,62,0.765957446808511,0.461694898698182
1,0.5,0.3,63,0.765957446808511,0.463073522556532
1,0.5,0.3,64,0.765957446808511,0.461697460383865
1,0.5,0.3,65,0.765957446808511,0.463573640776867
1,0.5,0.3,66,0.765957446808511,0.463521698006751
1,0.5,0.3,67,0.765957446808511,0.463274205839078
1,0.5,0.3,68,0.765957446808511,0.462162372070386
1,0.5,0.3,69,0.765957446808511,0.464054388839924
1,0.5,0.3,70,0.765957446808511,0.462997597104159
1,0.5,0.3,71,0.765957446808511,0.464548965160498
1,0.5,0.3,72,0.765957446808511,0.463058990101073
1,0.5,0.3,73,0.765957446808511,0.46091461350435
1,0.5,0.3,74,0.765957446808511,0.461879651916044
1,0.5,0.3,75,0.765957446808511,0.463078966938696
1,0.5,0.3,76,0.765957446808511,0.461901154928261
1,0.5,0.3,77,0.765957446808511,0.463549596405598
1,0.5,0.3,78,0.765957446808511,0.461106879992314
1,0.5,0.3,79,0.765957446808511,0.462688880924074
1,0.5,0.3,80,0.765957446808511,0.461350219023612
1,0.5,0.3,81,0.765957446808511,0.462829773109439
1,0.5,0.3,82,0.765957446808511,0.460159802013974
1,0.5,0.3,83,0.765957446808511,0.460058518195281
1,0.5,0.3,84,0.765957446808511,0.458963173315088
