n,thresholdModel,thresholdClass,Accuracy,logloss
9,0.2,0.5,0.74468085106383,0.428382927426699
9,0.25,0.5,0.74468085106383,0.428181191377461
9,0.3,0.5,0.808510638297872,0.428434538426949
9,0.35,0.5,0.808510638297872,0.428728184505988
9,0.4,0.5,0.808510638297872,0.428728184505988
9,0.45,0.5,0.808510638297872,0.428728184505988
9,0.5,0.5,0.808510638297872,0.431433922047338
9,0.55,0.5,0.808510638297872,0.433478745682601
9,0.6,0.5,0.74468085106383,0.461028095009188
9,0.65,0.5,0.74468085106383,0.461028095009188
9,0.7,0.5,0.74468085106383,0.471183562833187
9,0.75,0.5,0.74468085106383,0.471183562833187
9,0.8,0.5,0.74468085106383,0.481558118947828
9,0.85,0.5,0.74468085106383,0.510380652045331
9,0.9,0.5,0.74468085106383,0.510380652045331
9,0.95,0.5,0.74468085106383,0.510380652045331
9,1,0.5,0.74468085106383,0.510380652045331
10,0.05,0.5,0.829787234042553,0.4458249490838
10,0.1,0.5,0.74468085106383,0.426964013955132
10,0.15,0.5,0.74468085106383,0.427668349018832
10,0.2,0.5,0.74468085106383,0.431618790055937
10,0.25,0.5,0.74468085106383,0.432646684978219
10,0.3,0.5,0.808510638297872,0.436812134979586
10,0.35,0.5,0.808510638297872,0.436812134979586
10,0.4,0.5,0.808510638297872,0.437331739169755
10,0.45,0.5,0.765957446808511,0.43774131366539
10,0.5,0.5,0.765957446808511,0.43774131366539
10,0.55,0.5,0.74468085106383,0.45805429241185
10,0.6,0.5,0.74468085106383,0.45805429241185
10,0.65,0.5,0.74468085106383,0.45805429241185
10,0.7,0.5,0.74468085106383,0.45805429241185
10,0.75,0.5,0.74468085106383,0.45805429241185
10,0.8,0.5,0.74468085106383,0.45805429241185
10,0.85,0.5,0.74468085106383,0.468153503248293
10,0.9,0.5,0.74468085106383,0.468153503248293
10,0.95,0.5,0.74468085106383,0.468153503248293
10,1,0.5,0.74468085106383,0.468153503248293
11,0.05,0.5,0.765957446808511,0.43017769839702
11,0.1,0.5,0.765957446808511,0.432130481915351
11,0.15,0.5,0.765957446808511,0.434338043176684
11,0.2,0.5,0.765957446808511,0.434720542202488
11,0.25,0.5,0.74468085106383,0.436618394333079
11,0.3,0.5,0.74468085106383,0.436618394333079
11,0.35,0.5,0.74468085106383,0.436618394333079
11,0.4,0.5,0.74468085106383,0.436618394333079
11,0.45,0.5,0.787234042553192,0.434792046148078
11,0.5,0.5,0.787234042553192,0.434792046148078
11,0.55,0.5,0.787234042553192,0.434792046148078
11,0.6,0.5,0.787234042553192,0.434792046148078
11,0.65,0.5,0.787234042553192,0.442113365413752
11,0.7,0.5,0.787234042553192,0.442113365413752
11,0.75,0.5,0.787234042553192,0.442113365413752
11,0.8,0.5,0.787234042553192,0.442113365413752
11,0.85,0.5,0.787234042553192,0.442113365413752
11,0.9,0.5,0.765957446808511,0.448526480384707
11,0.95,0.5,0.765957446808511,0.463717135092343
11,1,0.5,0.74468085106383,0.497090366038009
12,0.05,0.5,0.74468085106383,0.436674067277314
12,0.1,0.5,0.74468085106383,0.435523603235319
12,0.15,0.5,0.74468085106383,0.435065370261085
12,0.2,0.5,0.765957446808511,0.434496752945959
12,0.25,0.5,0.765957446808511,0.433409132793886
12,0.3,0.5,0.765957446808511,0.433409132793886
12,0.35,0.5,0.765957446808511,0.433409132793886
12,0.4,0.5,0.765957446808511,0.433409132793886
