nodes,nTree,accuracy
41,5,0.734553775743707
42,5,0.732265446224256
43,5,0.732265446224256
44,5,0.74370709382151
45,5,0.708428246013667
46,5,0.708428246013667
47,5,0.708428246013667
48,5,0.728929384965832
49,5,0.705215419501134
50,5,0.712984054669704
51,5,0.712984054669704
52,5,0.705479452054795
53,5,0.719817767653758
54,5,0.710706150341686
55,5,0.714942528735632
56,5,0.744827586206897
57,5,0.744827586206897
58,5,0.744827586206897
59,5,0.751152073732719
60,5,0.748847926267281
61,5,0.748847926267281
62,5,0.748847926267281
63,5,0.747685185185185
64,5,0.747685185185185
65,5,0.73394495412844
66,5,0.73394495412844
67,5,0.742528735632184
68,5,0.744239631336406
69,5,0.718181818181818
70,5,0.726027397260274
71,5,0.726027397260274
72,5,0.726027397260274
73,5,0.726027397260274
74,5,0.720823798627002
75,5,0.720823798627002
76,5,0.720823798627002
77,5,0.720823798627002
78,5,0.720823798627002
79,5,0.720823798627002
80,5,0.720823798627002
81,5,0.719540229885058
82,5,0.720823798627002
83,5,0.720823798627002
84,5,0.720823798627002
85,5,0.720823798627002
86,5,0.720823798627002
87,5,0.723112128146453
88,5,0.745995423340961
89,5,0.715935334872979
90,5,0.722863741339492
91,5,0.732265446224256
92,5,0.734553775743707
93,5,0.734553775743707
94,5,0.734553775743707
95,5,0.734553775743707
96,5,0.708333333333333
97,5,0.708333333333333
98,5,0.717889908256881
99,5,0.717889908256881
100,5,0.717889908256881
1,6,0.667396061269147
2,6,0.682505399568035
3,6,0.705882352941177
4,6,0.709051724137931
5,6,0.681034482758621
6,6,0.730192719486081
7,6,0.696312364425163
8,6,0.691973969631237
9,6,0.696703296703297
10,6,0.688741721854305
11,6,0.698447893569845
12,6,0.692477876106195
13,6,0.715859030837004
14,6,0.704845814977974
15,6,0.704845814977974
16,6,0.720879120879121
17,6,0.720264317180617
18,6,0.726666666666667
19,6,0.702643171806168
20,6,0.733480176211454
21,6,0.72967032967033
22,6,0.723076923076923
23,6,0.701986754966887
24,6,0.722466960352423
25,6,0.726872246696035
26,6,0.707423580786026
27,6,0.705752212389381
28,6,0.705752212389381
29,6,0.74835886214442
30,6,0.734065934065934
31,6,0.716814159292035
32,6,0.723684210526316
33,6,0.723451327433628
34,6,0.725663716814159
35,6,0.725663716814159
36,6,0.725663716814159
37,6,0.712719298245614
38,6,0.718681318681319
39,6,0.732300884955752
40,6,0.693156732891832
41,6,0.722466960352423
42,6,0.720264317180617
43,6,0.720264317180617
44,6,0.737306843267108
45,6,0.716483516483517
46,6,0.716483516483517
47,6,0.716483516483517
48,6,0.721854304635762
49,6,0.721854304635762
50,6,0.717105263157895
51,6,0.717105263157895
52,6,0.704845814977974
53,6,0.70704845814978
54,6,0.699779249448124
55,6,0.710467706013363
56,6,0.740659340659341
57,6,0.740659340659341
58,6,0.740659340659341
59,6,0.732891832229581
60,6,0.757238307349666
61,6,0.757238307349666
62,6,0.757238307349666
63,6,0.745535714285714
64,6,0.745535714285714
65,6,0.737777777777778
66,6,0.737777777777778
67,6,0.745575221238938
68,6,0.754464285714286
69,6,0.743421052631579
70,6,0.730684326710817
71,6,0.730684326710817
72,6,0.730684326710817
73,6,0.730684326710817
74,6,0.735099337748344
75,6,0.735099337748344
76,6,0.735099337748344
77,6,0.735099337748344
78,6,0.735099337748344
79,6,0.735099337748344
80,6,0.735099337748344
81,6,0.722222222222222
82,6,0.720620842572062
83,6,0.720620842572062
84,6,0.720620842572062
85,6,0.720620842572062
86,6,0.720620842572062
87,6,0.731868131868132
88,6,0.746666666666667
89,6,0.732300884955752
90,6,0.746136865342163
91,6,0.735099337748344
92,6,0.736725663716814
93,6,0.736725663716814
94,6,0.736725663716814
95,6,0.736725663716814
96,6,0.716517857142857
97,6,0.716517857142857
98,6,0.728476821192053
99,6,0.728476821192053
100,6,0.728476821192053
1,7,0.663811563169165
2,7,0.695560253699789
3,7,0.702991452991453
4,7,0.701492537313433
5,7,0.68936170212766
6,7,0.738853503184713
7,7,0.696581196581197
8,7,0.708510638297872
9,7,0.716129032258065
10,7,0.717672413793103
11,7,0.717344753747323
12,7,0.697624190064795
13,7,0.703225806451613
14,7,0.717672413793103
15,7,0.699134199134199
16,7,0.714902807775378
17,7,0.727861771058315
18,7,0.730021598272138
19,7,0.704103671706264
20,7,0.728448275862069
21,7,0.728448275862069
22,7,0.738197424892704
23,7,0.718279569892473
24,7,0.714902807775378
25,7,0.730021598272138
26,7,0.723175965665236
27,7,0.720779220779221
28,7,0.720779220779221
29,7,0.736051502145923
30,7,0.720430107526882
31,7,0.72943722943723
32,7,0.726881720430108
33,7,0.72943722943723
34,7,0.738095238095238
35,7,0.738095238095238
36,7,0.735930735930736
37,7,0.753218884120172
38,7,0.735483870967742
39,7,0.725701943844492
40,7,0.724137931034483
41,7,0.735483870967742
42,7,0.724731182795699
43,7,0.724731182795699
44,7,0.734913793103448
45,7,0.712742980561555
46,7,0.712742980561555
47,7,0.712742980561555
48,7,0.728448275862069
49,7,0.720173535791757
50,7,0.713665943600868
51,7,0.713665943600868
52,7,0.722943722943723
53,7,0.72198275862069
54,7,0.710583153347732
55,7,0.720779220779221
56,7,0.743040685224839
57,7,0.743040685224839
58,7,0.743040685224839
59,7,0.753218884120172
60,7,0.752173913043478
61,7,0.752173913043478
62,7,0.752173913043478
63,7,0.746753246753247
64,7,0.746753246753247
65,7,0.741935483870968
66,7,0.741935483870968
67,7,0.741379310344828
68,7,0.765726681127983
69,7,0.740820734341253
70,7,0.72354211663067
71,7,0.72354211663067
72,7,0.72354211663067
73,7,0.72354211663067
74,7,0.730603448275862
75,7,0.730603448275862
76,7,0.730603448275862
77,7,0.737068965517241
78,7,0.737068965517241
79,7,0.75
80,7,0.75
81,7,0.719827586206897
82,7,0.730021598272138
83,7,0.730021598272138
84,7,0.730021598272138
85,7,0.730021598272138
86,7,0.725701943844492
87,7,0.745140388768899
88,7,0.740820734341253
89,7,0.752155172413793
90,7,0.730021598272138
91,7,0.745689655172414
92,7,0.733333333333333
93,7,0.733333333333333
94,7,0.733333333333333
95,7,0.733333333333333
96,7,0.71304347826087
97,7,0.71304347826087
98,7,0.722943722943723
99,7,0.722943722943723
100,7,0.722943722943723
1,8,0.675847457627119
2,8,0.675052410901468
3,8,0.694915254237288
4,8,0.706751054852321
5,8,0.693446088794926
6,8,0.737394957983193
7,8,0.692631578947368
8,8,0.727463312368973
9,8,0.691331923890063
10,8,0.705508474576271
11,8,0.722105263157895
12,8,0.712765957446809
13,8,0.707006369426752
14,8,0.715498938428875
